CLUESmallArea,BlockId,Usage,SumFloors2002,BuildingCount2002,SumFloors2021,BuildingCount2021,MostFloors2002,MostFloors2021
Parkville,928,House/Townhouse,8.0,8,401.0,201,1,2
Parkville,928,Residential Apartment,0.0,0,85.0,15,0,14
Parkville,928,Community Use,0.0,0,1.0,1,0,1
Parkville,928,Office,0.0,0,1.0,1,0,1
Parkville,928,Unoccupied - Under Construction,0.0,0,0.0,0,0,0
Parkville,928,Educational/Research,4.0,3,2.0,1,2,2
Parkville,928,Institutional Accommodation,0.0,0,5.0,1,0,5
Parkville,928,Equipment Installation,1.0,1,0.0,0,1,0
Parkville,928,Unoccupied - Under Renovation,0.0,0,0.0,0,0,0
Parkville,928,Entertainment/Recreation - Indoor,0.0,0,1.0,1,0,1
Parkville,928,Parking - Private Covered,0.0,0,0.0,0,0,0
Parkville,928,Unoccupied - Unused,0,0,0,0
Parkville,928,Parking - Commercial Covered,0,0,0,0
Parkville,917,House/Townhouse,63.0,41,63.0,41,2,2
Parkville,917,Residential Apartment,4.0,2,4.0,2,2,2
Parkville,917,Office,0,0,0,0
Parkville,917,Entertainment/Recreation - Indoor,0,0,0,0
Parkville,917,Unoccupied - Unused,0,0,0,0
Parkville,917,Parking - Commercial Covered,0,0,0,0
Parkville,914,House/Townhouse,39.0,26,41.0,26,2,2
Parkville,914,Residential Apartment,0.0,0,2.0,1,0,2
Parkville,914,Educational/Research,2.0,1,2.0,1,2,2
Parkville,914,Commercial Accommodation,2.0,1,2.0,1,2,2
Parkville,914,Unoccupied - Under Renovation,0.0,0,0.0,0,0,0
Parkville,914,Retail - Shop,1.0,1,0.0,0,1,0
Parkville,914,Office,0,0,0,0
Parkville,914,Entertainment/Recreation - Indoor,0,0,0,0
Parkville,914,Unoccupied - Unused,0,0,0,0
Parkville,914,Parking - Commercial Covered,0,0,0,0
Parkville,925,House/Townhouse,33.0,29,35.0,30,2,2
Parkville,925,Residential Apartment,9.0,3,9.0,3,4,4
Parkville,925,Commercial Accommodation,3.0,1,3.0,1,3,3
Parkville,925,Office,0,0,0,0
Parkville,925,Entertainment/Recreation - Indoor,0,0,0,0
Parkville,925,Unoccupied - Unused,0,0,0,0
Parkville,925,Parking - Commercial Covered,0,0,0,0
Parkville,922,House/Townhouse,174.0,99,168.0,95,2,2
Parkville,922,Residential Apartment,13.0,6,13.0,6,3,3
Parkville,922,Institutional Accommodation,2.0,1,13.0,7,2,2
Parkville,922,Equipment Installation,1.0,1,1.0,1,1,1
Parkville,922,Office,7.0,3,2.0,1,4,2
Parkville,922,Unoccupied - Unused,0.0,0,6.0,2,0,4
Parkville,922,Storage,2.0,1,2.0,1,2,2
Parkville,922,Educational/Research,0.0,0,0.0,0,0,0
Parkville,922,Community Use,0.0,0,0.0,0,0,0
Parkville,922,Commercial Accommodation,2.0,1,0.0,0,2,0
Parkville,922,Hospital/Clinic,2.0,1,0.0,0,2,0
Parkville,922,Unoccupied - Under Renovation,0.0,0,0.0,0,0,0
Parkville,922,Entertainment/Recreation - Indoor,0,0,0,0
Parkville,922,Parking - Commercial Covered,0,0,0,0
Parkville,915,Residential Apartment,1.0,1,2.0,1,1,2
Parkville,915,House/Townhouse,45.0,29,45.0,29,2,2
Parkville,915,Unoccupied - Unused,0.0,0,4.0,2,0,2
Parkville,915,Entertainment/Recreation - Indoor,2.0,1,2.0,1,2,2
Parkville,915,Retail - Shop,6.0,3,2.0,1,2,2
Parkville,915,Unoccupied - Under Renovation,0.0,0,0.0,0,0,0
Parkville,915,Hospital/Clinic,0.0,0,0.0,0,0,0
Parkville,915,Office,0,0,0,0
Parkville,915,Parking - Commercial Covered,0,0,0,0
Parkville,931,Entertainment/Recreation - Indoor,5.0,4,13.0,9,2,3
Parkville,931,House/Townhouse,5.0,4,4.0,3,2,2
Parkville,931,Equipment Installation,2.0,2,5.0,5,1,1
Parkville,931,Transport,1.0,1,1.0,1,1,1
Parkville,931,Community Use,0.0,0,1.0,1,0,1
Parkville,931,Hospital/Clinic,11.0,1,11.0,1,11,11
Parkville,931,Office,1.0,1,0.0,0,1,0
Parkville,931,Unoccupied - Unused,0.0,0,0.0,0,0,0
Parkville,931,Retail - Shop,0.0,0,0.0,0,0,0
Parkville,931,Parking - Commercial Covered,0,0,0,0
Parkville,921,Educational/Research,8.0,2,30.0,7,7,7
Parkville,921,Unoccupied - Under Construction,0.0,0,0.0,0,0,0
Parkville,921,Office,0.0,0,1.0,1,0,1
Parkville,921,House/Townhouse,0,0,0,0
Parkville,921,Entertainment/Recreation - Indoor,0,0,0,0
Parkville,921,Unoccupied - Unused,0,0,0,0
