lon,lat,featurenam,shape_area,shape_len
144.9515603312268,-37.78711656492933,Parkville,4050997.2362,9224.56939673
144.96176162794978,-37.82529018627908,Southbank,1596010.33174,6012.37723915
144.98292521995853,-37.83760704949379,South Yarra,1057773.39715,5424.13644582
144.9825008488323,-37.813,East Melbourne,1909072.65637,6557.91424946
144.9204996881507,-37.79152998205382,Kensington,3808797.49677,9407.05542058
144.94942867521925,-37.8063,West Melbourne (Residential),860054.675679,4031.46799307
144.96291513859617,-37.81381109987871,Melbourne (CBD),2485904.89194,7112.60987105
144.97838992382978,-37.825,Melbourne (Remainder),2668300.95898,11399.6082458
144.94506274103145,-37.79844895689088,North Melbourne,2408377.21789,7546.64919141
144.9221537804208,-37.809621301586795,West Melbourne (Industrial),5917883.21599,11793.960449
144.905,-37.83183174511404,Port Melbourne,5470092.78821,15117.7233976
144.9416850851487,-37.81851829412262,Docklands,2856028.73238,9588.24778517
144.97,-37.79601167728975,Carlton,2724820.83121,9914.977304
